rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,populace
2010,Z,66020024,20–24 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1555,2971
2010,Z,66020024,20–24 let,CZ0314,Písek,CZ031,Jihočeský kraj,1245,2239
2010,Z,66020024,20–24 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,893,1714
2010,Z,66020024,20–24 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1276,2265
2010,Z,66020024,20–24 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2093,3228
2010,Z,66020024,20–24 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1169,1968
2010,Z,66020024,20–24 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1421,2698
2010,Z,66020024,20–24 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,3619,5556
2010,Z,66020024,20–24 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1050,1809
2010,Z,66020024,20–24 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,1464,2405
2010,Z,66020024,20–24 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,896,1506
2010,Z,66020024,20–24 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1044,1927
2010,Z,66020024,20–24 let,CZ0411,Cheb,CZ041,Karlovarský kraj,1441,3192
2010,Z,66020024,20–24 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1955,3851
2010,Z,66020024,20–24 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1633,3258
2010,Z,66020024,20–24 let,CZ0421,Děčín,CZ042,Ústecký kraj,2060,4279
2010,Z,66020024,20–24 let,CZ0422,Chomutov,CZ042,Ústecký kraj,2247,4381
2010,Z,66020024,20–24 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,2109,3564
2010,Z,66020024,20–24 let,CZ0424,Louny,CZ042,Ústecký kraj,1515,2855
2010,Z,66020024,20–24 let,CZ0425,Most,CZ042,Ústecký kraj,1959,3921
2010,Z,66020024,20–24 let,CZ0426,Teplice,CZ042,Ústecký kraj,2011,4168
2010,Z,66020024,20–24 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,2133,3757
2010,Z,66020024,20–24 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,1922,3579
2010,Z,66020024,20–24 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1591,2845
2010,Z,66020024,20–24 let,CZ0513,Liberec,CZ051,Liberecký kraj,3135,5514
2010,Z,66020024,20–24 let,CZ0514,Semily,CZ051,Liberecký kraj,1369,2386
2010,Z,66020024,20–24 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,3181,4993
2010,Z,66020024,20–24 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,1444,2515
2010,Z,66020024,20–24 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2096,3616
2010,Z,66020024,20–24 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,1470,2542
2010,Z,66020024,20–24 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,2073,3718
2010,Z,66020024,20–24 let,CZ0531,Chrudim,CZ053,Pardubický kraj,2184,3522
2010,Z,66020024,20–24 let,CZ0532,Pardubice,CZ053,Pardubický kraj,3414,5254
2010,Z,66020024,20–24 let,CZ0533,Svitavy,CZ053,Pardubický kraj,1844,3363
2010,Z,66020024,20–24 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,2604,4577
2010,Z,66020024,20–24 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,1628,3053
2010,Z,66020024,20–24 let,CZ0632,Jihlava,CZ063,Vysočina,2099,3547
2010,Z,66020024,20–24 let,CZ0633,Pelhřimov,CZ063,Vysočina,1306,2262
2010,Z,66020024,20–24 let,CZ0634,Třebíč,CZ063,Vysočina,2068,3926
2010,Z,66020024,20–24 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,2206,4073
2010,Z,66020024,20–24 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,1875,3374
2010,Z,66020024,20–24 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,7464,11315
2010,Z,66020024,20–24 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,4123,6190
2010,Z,66020024,20–24 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,2137,3644
2010,Z,66020024,20–24 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,2221,5150
2010,Z,66020024,20–24 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,1758,2859
2010,Z,66020024,20–24 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,2154,3753
2010,Z,66020024,20–24 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,549,1356
2010,Z,66020024,20–24 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,4641,7677
2010,Z,66020024,20–24 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,2080,3444
2010,Z,66020024,20–24 let,CZ0714,Přerov,CZ071,Olomoucký kraj,2326,4420
2010,Z,66020024,20–24 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,2358,4130
2010,Z,66020024,20–24 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,1988,3512
2010,Z,66020024,20–24 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,2631,4689
2010,Z,66020024,20–24 let,CZ0723,Vsetín,CZ072,Zlínský kraj,2368,4885
2010,Z,66020024,20–24 let,CZ0724,Zlín,CZ072,Zlínský kraj,3562,6079
2010,Z,66020024,20–24 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,1717,3338
2010,Z,66020024,20–24 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,3583,7149
2010,Z,66020024,20–24 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,2320,9265
2010,Z,66020024,20–24 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,2526,5253
2010,Z,66020024,20–24 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,3101,6037
2010,Z,66020024,20–24 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,5447,11228
2010,Z,66025029,25–29 let,CZ0100,Praha,CZ010,Hlavní město Praha,27454,48252
2010,Z,66025029,25–29 let,CZ0201,Benešov,CZ020,Středočeský kraj,1964,3192
2010,Z,66025029,25–29 let,CZ0202,Beroun,CZ020,Středočeský kraj,1994,2891
2010,Z,66025029,25–29 let,CZ0203,Kladno,CZ020,Středočeský kraj,3515,5270
2010,Z,66025029,25–29 let,CZ0204,Kolín,CZ020,Středočeský kraj,2061,3293
2010,Z,66025029,25–29 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,1528,2522
2010,Z,66025029,25–29 let,CZ0206,Mělník,CZ020,Středočeský kraj,2197,3410
2010,Z,66025029,25–29 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,2936,4441
2010,Z,66025029,25–29 let,CZ0208,Nymburk,CZ020,Středočeský kraj,2063,3097
2010,Z,66025029,25–29 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,3760,4894
2010,Z,66025029,25–29 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,3041,3924
2010,Z,66025029,25–29 let,CZ020B,Příbram,CZ020,Středočeský kraj,2299,3804
2010,Z,66025029,25–29 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1143,1842
2010,Z,66025029,25–29 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,4367,6357
2010,Z,66025029,25–29 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1310,2136
2010,Z,66025029,25–29 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1832,3023
2010,Z,66025029,25–29 let,CZ0314,Písek,CZ031,Jihočeský kraj,1298,2205
2010,Z,66025029,25–29 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,948,1727
2010,Z,66025029,25–29 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1385,2343
2010,Z,66025029,25–29 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2222,3352
2010,Z,66025029,25–29 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1138,1911
2010,Z,66025029,25–29 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1487,2855
2010,Z,66025029,25–29 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,4052,6735
2010,Z,66025029,25–29 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1250,1969
2010,Z,66025029,25–29 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,1668,2523
2010,Z,66025029,25–29 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,1044,1619
2010,Z,66025029,25–29 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1004,1847
2010,Z,66025029,25–29 let,CZ0411,Cheb,CZ041,Karlovarský kraj,1484,3162
2010,Z,66025029,25–29 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1964,4017
2010,Z,66025029,25–29 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1668,3182
2010,Z,66025029,25–29 let,CZ0421,Děčín,CZ042,Ústecký kraj,2182,4365
2010,Z,66025029,25–29 let,CZ0422,Chomutov,CZ042,Ústecký kraj,2385,4464
2010,Z,66025029,25–29 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,2330,3781
2010,Z,66025029,25–29 let,CZ0424,Louny,CZ042,Ústecký kraj,1573,2947
2010,Z,66025029,25–29 let,CZ0425,Most,CZ042,Ústecký kraj,2058,3874
2010,Z,66025029,25–29 let,CZ0426,Teplice,CZ042,Ústecký kraj,2054,4261
2010,Z,66025029,25–29 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,2336,4012
2010,Z,66025029,25–29 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2099,3665
2010,Z,66025029,25–29 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1854,3030
2010,Z,66025029,25–29 let,CZ0513,Liberec,CZ051,Liberecký kraj,3441,5774
2010,Z,66025029,25–29 let,CZ0514,Semily,CZ051,Liberecký kraj,1364,2342
2010,Z,66025029,25–29 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,3496,5451
2010,Z,66025029,25–29 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,1653,2694
2010,Z,66025029,25–29 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2084,3550
2010,Z,66025029,25–29 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,1587,2578
2010,Z,66025029,25–29 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,2157,3766
2010,Z,66025029,25–29 let,CZ0531,Chrudim,CZ053,Pardubický kraj,2166,3434
2010,Z,66025029,25–29 let,CZ0532,Pardubice,CZ053,Pardubický kraj,3679,5676
2010,Z,66025029,25–29 let,CZ0533,Svitavy,CZ053,Pardubický kraj,2025,3490
2010,Z,66025029,25–29 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,2570,4559
2010,Z,66025029,25–29 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,1822,3264
2010,Z,66025029,25–29 let,CZ0632,Jihlava,CZ063,Vysočina,2265,3797
2010,Z,66025029,25–29 let,CZ0633,Pelhřimov,CZ063,Vysočina,1406,2410
2010,Z,66025029,25–29 let,CZ0634,Třebíč,CZ063,Vysočina,2151,3874
2010,Z,66025029,25–29 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,2272,3944
2010,Z,66025029,25–29 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,2158,3643
2010,Z,66025029,25–29 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,8805,13539
2010,Z,66025029,25–29 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,4892,6807
2010,Z,66025029,25–29 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,2375,4060
2010,Z,66025029,25–29 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,2498,5311
2010,Z,66025029,25–29 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,1923,2993
2010,Z,66025029,25–29 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,2326,3921
2010,Z,66025029,25–29 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,513,1301
2010,Z,66025029,25–29 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,5190,8263
2010,Z,66025029,25–29 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,2321,3840
