rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,pocet_abnormalnich
2012,Z,66025059,25–59 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,21736,677
2012,Z,66025059,25–59 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,10664,432
2012,Z,66025059,25–59 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,15687,497
2012,Z,66025059,25–59 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,10787,341
2012,Z,66025059,25–59 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,14818,582
2012,Z,66025059,25–59 let,CZ0531,Chrudim,CZ053,Pardubický kraj,15448,579
2012,Z,66025059,25–59 let,CZ0532,Pardubice,CZ053,Pardubický kraj,24648,967
2012,Z,66025059,25–59 let,CZ0533,Svitavy,CZ053,Pardubický kraj,13878,609
2012,Z,66025059,25–59 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,19132,821
2012,Z,66025059,25–59 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,12504,305
2012,Z,66025059,25–59 let,CZ0632,Jihlava,CZ063,Vysočina,15045,584
2012,Z,66025059,25–59 let,CZ0633,Pelhřimov,CZ063,Vysočina,9759,221
2012,Z,66025059,25–59 let,CZ0634,Třebíč,CZ063,Vysočina,15442,594
2012,Z,66025059,25–59 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,15313,534
2012,Z,66025059,25–59 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,13559,581
2012,Z,66025059,25–59 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,50963,3279
2012,Z,66025059,25–59 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,29708,1782
2012,Z,66025059,25–59 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,16161,661
2012,Z,66025059,25–59 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,16993,636
2012,Z,66025059,25–59 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,11842,600
2012,Z,66025059,25–59 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,14607,629
2012,Z,66025059,25–59 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,3920,129
2012,Z,66025059,25–59 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,34150,1579
2012,Z,66025059,25–59 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,14943,598
2012,Z,66025059,25–59 let,CZ0714,Přerov,CZ071,Olomoucký kraj,16509,626
2012,Z,66025059,25–59 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,16413,583
2012,Z,66025059,25–59 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,13746,302
2012,Z,66025059,25–59 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,19141,361
2012,Z,66025059,25–59 let,CZ0723,Vsetín,CZ072,Zlínský kraj,17906,836
2012,Z,66025059,25–59 let,CZ0724,Zlín,CZ072,Zlínský kraj,25452,787
2012,Z,66025059,25–59 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,12472,592
2012,Z,66025059,25–59 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,25722,1249
2012,Z,66025059,25–59 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,24255,1937
2012,Z,66025059,25–59 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,18719,1271
2012,Z,66025059,25–59 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,23121,1405
2012,Z,66025059,25–59 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,38014,3199
2013,Z,66025059,25–59 let,CZ0100,Praha,CZ010,Hlavní město Praha,162126,6087
