"Ukazatel","IndicatorType","Druh zdravotní péče-Úroveň 1","HC.HCU1","Druh zdravotní péče-Úroveň 2","HC.HCU2","Druh zdravotní péče-Úroveň 3","HC.HCU3","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2012","2012","1154.008326"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2013","2013","1223.705346"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2014","2014","1138.138999"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2015","2015","1251.77006"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2016","2016","1326.94756"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2017","2017","1434.178482"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2018","2018","1632.925346"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2019","2019","1665.320014"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2020","2020","1703.649504"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2021","2021","1785.397557"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2022","2022","1726.666667"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2010","2010","901.351"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2011","2011","907.757"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2012","2012","871.199"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2013","2013","1000.853"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2014","2014","2374.086"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2015","2015","914.916"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2016","2016","1258.994"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2017","2017","1769"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2018","2018","1197"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2019","2019","1250.962"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2020","2020","1344.555"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2021","2021","2328.781"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Závodní preventivní péče","HF23","Česko","CZ","2022","2022","2021.835"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2010","2010","149812.6541"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2011","2011","151625.4295"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2012","2012","153777.6487"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2013","2013","154774.2337"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2014","2014","166519.6889"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2015","2015","171896.3099"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Léčebná péče","HC1","","","","","Celkem","0","","","Česko","CZ","2016","2016","180554.5516"
