rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetreni
2010,Z,66020024,20–24 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,1581
2010,Z,66020024,20–24 let,CZ0314,Písek,CZ031,Jihočeský kraj,1275
2010,Z,66020024,20–24 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,930
2010,Z,66020024,20–24 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,1312
2010,Z,66020024,20–24 let,CZ0317,Tábor,CZ031,Jihočeský kraj,2258
2010,Z,66020024,20–24 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,1193
2010,Z,66020024,20–24 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,1466
2010,Z,66020024,20–24 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,3737
2010,Z,66020024,20–24 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,1087
2010,Z,66020024,20–24 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,1518
2010,Z,66020024,20–24 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,926
2010,Z,66020024,20–24 let,CZ0327,Tachov,CZ032,Plzeňský kraj,1088
2010,Z,66020024,20–24 let,CZ0411,Cheb,CZ041,Karlovarský kraj,1502
2010,Z,66020024,20–24 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,1994
2010,Z,66020024,20–24 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1683
2010,Z,66020024,20–24 let,CZ0421,Děčín,CZ042,Ústecký kraj,2136
2010,Z,66020024,20–24 let,CZ0422,Chomutov,CZ042,Ústecký kraj,2301
2010,Z,66020024,20–24 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,2152
2010,Z,66020024,20–24 let,CZ0424,Louny,CZ042,Ústecký kraj,1552
2010,Z,66020024,20–24 let,CZ0425,Most,CZ042,Ústecký kraj,2027
2010,Z,66020024,20–24 let,CZ0426,Teplice,CZ042,Ústecký kraj,2071
2010,Z,66020024,20–24 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,2168
2010,Z,66020024,20–24 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2041
2010,Z,66020024,20–24 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,1644
2010,Z,66020024,20–24 let,CZ0513,Liberec,CZ051,Liberecký kraj,3333
2010,Z,66020024,20–24 let,CZ0514,Semily,CZ051,Liberecký kraj,1399
2010,Z,66020024,20–24 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,3266
2010,Z,66020024,20–24 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,1489
2010,Z,66020024,20–24 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2167
2010,Z,66020024,20–24 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,1521
2010,Z,66020024,20–24 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,2137
2010,Z,66020024,20–24 let,CZ0531,Chrudim,CZ053,Pardubický kraj,2252
2010,Z,66020024,20–24 let,CZ0532,Pardubice,CZ053,Pardubický kraj,3530
2010,Z,66020024,20–24 let,CZ0533,Svitavy,CZ053,Pardubický kraj,1880
2010,Z,66020024,20–24 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,2654
2010,Z,66020024,20–24 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,1662
2010,Z,66020024,20–24 let,CZ0632,Jihlava,CZ063,Vysočina,2165
2010,Z,66020024,20–24 let,CZ0633,Pelhřimov,CZ063,Vysočina,1326
2010,Z,66020024,20–24 let,CZ0634,Třebíč,CZ063,Vysočina,2122
2010,Z,66020024,20–24 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,2253
2010,Z,66020024,20–24 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,1925
2010,Z,66020024,20–24 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,7659
2010,Z,66020024,20–24 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,4234
2010,Z,66020024,20–24 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,2182
2010,Z,66020024,20–24 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,2261
2010,Z,66020024,20–24 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,1791
2010,Z,66020024,20–24 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,2222
2010,Z,66020024,20–24 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,562
2010,Z,66020024,20–24 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,4764
2010,Z,66020024,20–24 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,2138
2010,Z,66020024,20–24 let,CZ0714,Přerov,CZ071,Olomoucký kraj,2385
2010,Z,66020024,20–24 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,2429
2010,Z,66020024,20–24 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,2020
2010,Z,66020024,20–24 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,2669
2010,Z,66020024,20–24 let,CZ0723,Vsetín,CZ072,Zlínský kraj,2435
2010,Z,66020024,20–24 let,CZ0724,Zlín,CZ072,Zlínský kraj,3683
2010,Z,66020024,20–24 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,1748
2010,Z,66020024,20–24 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,3641
2010,Z,66020024,20–24 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,2353
2010,Z,66020024,20–24 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,2582
2010,Z,66020024,20–24 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,3158
2010,Z,66020024,20–24 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,5566
2010,Z,66025029,25–29 let,CZ0100,Praha,CZ010,Hlavní město Praha,28214
2010,Z,66025029,25–29 let,CZ0201,Benešov,CZ020,Středočeský kraj,2041
2010,Z,66025029,25–29 let,CZ0202,Beroun,CZ020,Středočeský kraj,2064
2010,Z,66025029,25–29 let,CZ0203,Kladno,CZ020,Středočeský kraj,3627
2010,Z,66025029,25–29 let,CZ0204,Kolín,CZ020,Středočeský kraj,2140
2010,Z,66025029,25–29 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,1554
2010,Z,66025029,25–29 let,CZ0206,Mělník,CZ020,Středočeský kraj,2249
2010,Z,66025029,25–29 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,3023
2010,Z,66025029,25–29 let,CZ0208,Nymburk,CZ020,Středočeský kraj,2109
2010,Z,66025029,25–29 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,3898
2010,Z,66025029,25–29 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,3139
2010,Z,66025029,25–29 let,CZ020B,Příbram,CZ020,Středočeský kraj,2369
2010,Z,66025029,25–29 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1182
2010,Z,66025029,25–29 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,4528
2010,Z,66025029,25–29 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1357
