"Ukazatel","IndicatorType","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Poskytovatel zdravotní péče-Úroveň 1","HP.HPU1","Poskytovatel zdravotní péče-Úroveň 2","HP.HPU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2015","2015","58994.38179"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2016","2016","60064.15073"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2017","2017","61402.92879"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2018","2018","63432.42718"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2019","2019","67722.63348"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2020","2020","72031.92164"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2021","2021","76684.04803"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2022","2022","70733.90417"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2010","2010","1618.154324"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2011","2011","1643.317211"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2012","2012","1259.634522"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2013","2013","1473.051403"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2014","2014","2968.168345"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2015","2015","1543.065775"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2016","2016","2021.10798"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2017","2017","2645.771616"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2018","2018","2131.996024"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2019","2019","2156.79709"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2020","2020","2552.005038"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2021","2021","3607.866723"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé preventivní péče","HP6","","","Česko","CZ","2022","2022","3061.07393"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2010","2010","8632.55832"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2011","2011","8757.585196"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2012","2012","8634.03284"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2013","2013","8486.702337"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2014","2014","8550.628151"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2015","2015","8550.985318"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2016","2016","8583.035039"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2017","2017","8632.853852"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2018","2018","9187.834049"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2019","2019","10002.3847"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2020","2020","10792.78074"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2021","2021","11697.13204"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé správy a financování zdravotnictví","HP7","","","Česko","CZ","2022","2022","11863.24328"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2010","2010","4133"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2011","2011","4252"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2012","2012","4152"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2013","2013","4355"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2014","2014","4608"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Ostatní odvětví ekonomiky","HP8","","","Česko","CZ","2015","2015","4886"
