"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetreni"
"2010","Z",66020000.0,"20–24 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",2823.0
"2010","Z",66020000.0,"20–24 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",2212.0
"2010","Z",66020000.0,"20–24 let","CZ020B","Pribram","CZ020","Stredocesky kraj",2146.0
"2010","Z",66020000.0,"20–24 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",1057.0
"2010","Z",66020000.0,"20–24 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",4199.0
"2010","Z",66020000.0,"20–24 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",1227.0
"2010","Z",66020000.0,"20–24 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",1581.0
"2010","Z",66020000.0,"20–24 let","CZ0314","Pisek","CZ031","Jihocesky kraj",1275.0
"2010","Z",66020000.0,"20–24 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",930.0
"2010","Z",66020000.0,"20–24 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",1312.0
"2010","Z",66020000.0,"20–24 let","CZ0317","Tabor","CZ031","Jihocesky kraj",2258.0
"2010","Z",66020000.0,"20–24 let","CZ0321","Domazlice","CZ032","Plzensky kraj",1193.0
"2010","Z",66020000.0,"20–24 let","CZ0322","Klatovy","CZ032","Plzensky kraj",1466.0
"2010","Z",66020000.0,"20–24 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",3737.0
"2010","Z",66020000.0,"20–24 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",1087.0
"2010","Z",66020000.0,"20–24 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",1518.0
"2010","Z",66020000.0,"20–24 let","CZ0326","Rokycany","CZ032","Plzensky kraj",926.0
"2010","Z",66020000.0,"20–24 let","CZ0327","Tachov","CZ032","Plzensky kraj",1088.0
"2010","Z",66020000.0,"20–24 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",1502.0
"2010","Z",66020000.0,"20–24 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",1994.0
"2010","Z",66020000.0,"20–24 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",1683.0
"2010","Z",66020000.0,"20–24 let","CZ0421","Decin","CZ042","Ustecky kraj",2136.0
"2010","Z",66020000.0,"20–24 let","CZ0422","Chomutov","CZ042","Ustecky kraj",2301.0
"2010","Z",66020000.0,"20–24 let","CZ0423","Litomerice","CZ042","Ustecky kraj",2152.0
"2010","Z",66020000.0,"20–24 let","CZ0424","Louny","CZ042","Ustecky kraj",1552.0
"2010","Z",66020000.0,"20–24 let","CZ0425","Most","CZ042","Ustecky kraj",2027.0
"2010","Z",66020000.0,"20–24 let","CZ0426","Teplice","CZ042","Ustecky kraj",2071.0
"2010","Z",66020000.0,"20–24 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",2168.0
"2010","Z",66020000.0,"20–24 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",2041.0
"2010","Z",66020000.0,"20–24 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",1644.0
"2010","Z",66020000.0,"20–24 let","CZ0513","Liberec","CZ051","Liberecky kraj",3333.0
"2010","Z",66020000.0,"20–24 let","CZ0514","Semily","CZ051","Liberecky kraj",1399.0
