"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetrenych","pocet_abnormalnich"
"2011","Z",66025100.0,"25–59 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",33578.0,1884.0
"2011","Z",66025100.0,"25–59 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",15232.0,794.0
"2011","Z",66025100.0,"25–59 let","CZ0714","Prerov","CZ071","Olomoucky kraj",16007.0,665.0
"2011","Z",66025100.0,"25–59 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",16659.0,606.0
"2011","Z",66025100.0,"25–59 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",13628.0,408.0
"2011","Z",66025100.0,"25–59 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",18925.0,352.0
"2011","Z",66025100.0,"25–59 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",17152.0,822.0
"2011","Z",66025100.0,"25–59 let","CZ0724","Zlin","CZ072","Zlinsky kraj",24926.0,784.0
"2011","Z",66025100.0,"25–59 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",12447.0,702.0
"2011","Z",66025100.0,"25–59 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",25879.0,1640.0
"2011","Z",66025100.0,"25–59 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",19766.0,1701.0
"2011","Z",66025100.0,"25–59 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",18051.0,1197.0
"2011","Z",66025100.0,"25–59 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",22527.0,1654.0
"2011","Z",66025100.0,"25–59 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",35761.0,3030.0
"2012","Z",66025100.0,"25–59 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",161413.0,6330.0
"2012","Z",66025100.0,"25–59 let","CZ0201","Benesov","CZ020","Stredocesky kraj",13188.0,849.0
"2012","Z",66025100.0,"25–59 let","CZ0202","Beroun","CZ020","Stredocesky kraj",12133.0,554.0
"2012","Z",66025100.0,"25–59 let","CZ0203","Kladno","CZ020","Stredocesky kraj",21354.0,820.0
"2012","Z",66025100.0,"25–59 let","CZ0204","Kolin","CZ020","Stredocesky kraj",12893.0,522.0
"2012","Z",66025100.0,"25–59 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",9558.0,301.0
"2012","Z",66025100.0,"25–59 let","CZ0206","Melnik","CZ020","Stredocesky kraj",14057.0,511.0
"2012","Z",66025100.0,"25–59 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",19342.0,871.0
"2012","Z",66025100.0,"25–59 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",12796.0,424.0
"2012","Z",66025100.0,"25–59 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",23447.0,976.0
"2012","Z",66025100.0,"25–59 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",19278.0,731.0
"2012","Z",66025100.0,"25–59 let","CZ020B","Pribram","CZ020","Stredocesky kraj",15789.0,1129.0
"2012","Z",66025100.0,"25–59 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",7807.0,404.0
"2012","Z",66025100.0,"25–59 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",28248.0,1560.0
"2012","Z",66025100.0,"25–59 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",8840.0,345.0
"2012","Z",66025100.0,"25–59 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",13418.0,321.0
"2012","Z",66025100.0,"25–59 let","CZ0314","Pisek","CZ031","Jihocesky kraj",9157.0,249.0
"2012","Z",66025100.0,"25–59 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",6521.0,268.0
"2012","Z",66025100.0,"25–59 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",9028.0,351.0
"2012","Z",66025100.0,"25–59 let","CZ0317","Tabor","CZ031","Jihocesky kraj",15410.0,908.0
"2012","Z",66025100.0,"25–59 let","CZ0321","Domazlice","CZ032","Plzensky kraj",8683.0,316.0
"2012","Z",66025100.0,"25–59 let","CZ0322","Klatovy","CZ032","Plzensky kraj",10985.0,414.0
"2012","Z",66025100.0,"25–59 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",26465.0,1075.0
"2012","Z",66025100.0,"25–59 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",8692.0,302.0
"2012","Z",66025100.0,"25–59 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",11288.0,459.0
"2012","Z",66025100.0,"25–59 let","CZ0326","Rokycany","CZ032","Plzensky kraj",6353.0,228.0
"2012","Z",66025100.0,"25–59 let","CZ0327","Tachov","CZ032","Plzensky kraj",7345.0,332.0
"2012","Z",66025100.0,"25–59 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",11113.0,597.0
"2012","Z",66025100.0,"25–59 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",13518.0,926.0
"2012","Z",66025100.0,"25–59 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",11554.0,770.0
"2012","Z",66025100.0,"25–59 let","CZ0421","Decin","CZ042","Ustecky kraj",15453.0,808.0
"2012","Z",66025100.0,"25–59 let","CZ0422","Chomutov","CZ042","Ustecky kraj",16669.0,912.0
