"kraj_kod","umrti_rok","umrti_vek_kategorie_kod","pocet_umrti"
"CZ042","2012",66065100.0,3
"CZ051","2012",66080100.0,2
"CZ042","2012",66070100.0,6
"CZ032","2012",66045000.0,3
"CZ042","2012",66060100.0,4
"CZ080","2012",66035000.0,5
"CZ080","2012",66055100.0,7
"CZ053","2012",66070100.0,3
"CZ071","2012",66045000.0,2
"CZ051","2012",66050100.0,4
"CZ051","2012",66070100.0,3
"CZ020","2012",66040000.0,3
"CZ072","2012",66060100.0,2
"CZ041","2012",66075100.0,2
"CZ080","2012",66050100.0,2
"CZ064","2012",66060100.0,4
"CZ041","2012",66035000.0,2
"CZ064","2012",66086000.0,4
"CZ041","2012",66080100.0,2
"CZ080","2012",66086000.0,3
"CZ020","2012",66075100.0,5
"CZ031","2012",66060100.0,1
"CZ032","2012",66040000.0,1
"CZ052","2012",66045000.0,2
"CZ031","2012",66086000.0,4
"CZ032","2012",66086000.0,1
"CZ080","2012",66040000.0,2
"CZ072","2012",66065100.0,1
"CZ041","2012",66040000.0,3
"CZ053","2012",66045000.0,2
"CZ064","2012",66080100.0,3
"CZ020","2012",66050100.0,1
"CZ063","2012",66035000.0,3
"CZ010","2012",66045000.0,3
"CZ052","2012",66065100.0,2
"CZ010","2012",66075100.0,1
"CZ010","2012",66055100.0,3
"CZ072","2012",66070100.0,3
"CZ053","2012",66055100.0,3
"CZ071","2012",66030000.0,1
"CZ031","2012",66065100.0,3
"CZ063","2012",66070100.0,1
"CZ064","2012",66055100.0,2
"CZ071","2012",66055100.0,1
"CZ071","2012",66065100.0,2
"CZ053","2012",66065100.0,3
"CZ032","2012",66060100.0,1
"CZ063","2012",66080100.0,2
"CZ053","2012",66086000.0,1
"CZ063","2012",66045000.0,2
"CZ063","2012",66030000.0,1
"CZ071","2012",66060100.0,3
"CZ020","2012",66080100.0,2
"CZ064","2012",66045000.0,2
"CZ052","2012",66080100.0,1
"CZ051","2012",66055100.0,1
"CZ041","2012",66050100.0,1
"CZ071","2012",66075100.0,1
"CZ031","2012",66055100.0,1
"CZ032","2012",66050100.0,1
"CZ072","2012",66045000.0,1
"CZ042","2012",66075100.0,1
"CZ063","2012",66060100.0,2
"CZ051","2012",66086000.0,2
"CZ052","2012",66086000.0,1
"CZ031","2012",66045000.0,1
"CZ053","2012",66060100.0,1
"CZ053","2012",66075100.0,2
"CZ020","2012",66060100.0,2
"CZ072","2012",66055100.0,2
"CZ010","2012",66065100.0,2
"CZ064","2012",66040000.0,2
"CZ053","2012",66080100.0,1
"CZ041","2012",66030000.0,1
"CZ041","2012",66086000.0,2
"CZ071","2012",66035000.0,2
"CZ064","2012",66075100.0,2
"CZ080","2012",66075100.0,2
"CZ041","2012",66055100.0,1
"CZ042","2012",66050100.0,1
"CZ051","2012",66030000.0,1
"CZ031","2012",66040000.0,1
"CZ053","2012",66040000.0,1
"CZ042","2013",66075100.0,2
"CZ031","2013",66086000.0,6
"CZ031","2012",66050100.0,1
"CZ051","2013",66020000.0,1
"CZ051","2013",66060100.0,2
"CZ072","2013",66045000.0,3
"CZ064","2013",66060100.0,4
"CZ010","2013",66086000.0,7
"CZ072","2013",66040000.0,2
"CZ080","2013",66045000.0,6
"CZ064","2013",66050100.0,3
"CZ042","2013",66055100.0,7
"CZ080","2013",66060100.0,8
"CZ041","2013",66075100.0,4
"CZ042","2013",66060100.0,9
"CZ042","2013",66080100.0,2
"CZ010","2013",66075100.0,5
"CZ042","2013",66065100.0,7
"CZ080","2013",66055100.0,6
"CZ041","2013",66035000.0,1
"CZ041","2013",66065100.0,2
"CZ010","2013",66060100.0,6
"CZ041","2013",66045000.0,2
"CZ010","2013",66050100.0,3
"CZ080","2013",66065100.0,12
"CZ052","2013",66060100.0,2
"CZ020","2013",66075100.0,1
"CZ051","2012",66045000.0,1
"CZ010","2013",66065100.0,8
"CZ080","2013",66050100.0,4
"CZ071","2013",66060100.0,4
"CZ063","2013",66075100.0,5
"CZ053","2013",66075100.0,2
"CZ032","2013",66065100.0,6
"CZ051","2013",66070100.0,2
"CZ010","2013",66055100.0,6
"CZ063","2013",66045000.0,3
"CZ072","2013",66070100.0,1
"CZ071","2012",66080100.0,1
"CZ032","2013",66070100.0,5
"CZ052","2013",66086000.0,3
"CZ010","2013",66040000.0,2
"CZ042","2013",66050100.0,3
"CZ020","2013",66055100.0,4
"CZ042","2013",66070100.0,1
"CZ020","2013",66086000.0,2
"CZ020","2013",66060100.0,7
"CZ072","2012",66080100.0,1
"CZ063","2013",66086000.0,2
"CZ053","2013",66040000.0,1
"CZ052","2013",66075100.0,1
"CZ042","2013",66086000.0,2
"CZ032","2013",66045000.0,1
"CZ072","2013",66065100.0,1
"CZ020","2013",66035000.0,1
"CZ042","2013",66045000.0,4
"CZ041","2013",66055100.0,2
"CZ063","2013",66030000.0,1
"CZ051","2013",66055100.0,2
"CZ080","2013",66035000.0,2
"CZ032","2013",66040000.0,1
"CZ020","2013",66065100.0,6
"CZ041","2013",66070100.0,4
"CZ064","2013",66070100.0,3
"CZ080","2013",66075100.0,7
"CZ053","2013",66086000.0,2
"CZ041","2013",66060100.0,3
"CZ032","2013",66060100.0,2
"CZ042","2013",66040000.0,1
"CZ064","2013",66065100.0,3
"CZ052","2013",66050100.0,2
"CZ010","2013",66030000.0,3
"CZ064","2013",66055100.0,2
"CZ072","2013",66075100.0,4
"CZ031","2013",66080100.0,1
"CZ010","2013",66080100.0,5
"CZ020","2013",66070100.0,8
"CZ080","2013",66080100.0,5
"CZ032","2013",66035000.0,1
"CZ010","2013",66070100.0,5
"CZ051","2013",66086000.0,2
"CZ032","2013",66050100.0,3
"CZ064","2013",66025000.0,1
"CZ031","2013",66065100.0,1
"CZ032","2013",66075100.0,2
"CZ080","2013",66025000.0,1
"CZ052","2013",66065100.0,1
"CZ071","2013",66050100.0,2
"CZ052","2013",66030000.0,1
"CZ053","2013",66050100.0,2
"CZ071","2013",66086000.0,4
"CZ020","2013",66045000.0,3
"CZ071","2013",66070100.0,2
"CZ052","2013",66070100.0,2
"CZ071","2013",66080100.0,3
"CZ064","2013",66075100.0,3
"CZ031","2013",66025000.0,1
"CZ031","2013",66070100.0,1
"CZ080","2013",66070100.0,4
"CZ064","2013",66080100.0,2
"CZ031","2013",66045000.0,1
"CZ053","2013",66080100.0,2
"CZ071","2013",66065100.0,2
"CZ032","2013",66055100.0,1
"CZ042","2013",66035000.0,2
"CZ010","2013",66045000.0,3
"CZ080","2013",66040000.0,1
"CZ080","2013",66086000.0,4
"CZ064","2013",66045000.0,2
"CZ063","2013",66080100.0,3
"CZ063","2013",66065100.0,1
"CZ064","2013",66035000.0,1
"CZ042","2013",66025000.0,1
